Datetime,Username,Text
2023-07-12T02:23:17Z,burnair04,Tidak ada yg salah bila Indonesia belum tertarik pada teknologi nikuba saat ini. Mari kita berpikir dgn jernih. Bagi nitizen yg tidak memahami cara kerja nikuba ga usah banyak bacot dan sok nasionalis. Pahami dulu cara kerjanya dgn jelas baru komen.
2023-07-12T00:50:14Z,Khaban Kurniawan,Ada yg takut bangkrut karena teknologi nikuba
2023-07-12T00:29:52Z,frangkie sompie,"BUKAN CUMA UPIN IPIN , skarang NIKUBA yg di hargai  negara lain.

ngapain BRIN ikut Hadir, hahahahaahah....???????????"
2023-07-12T00:26:46Z,Aantoni Putra,Seharus nya Brin itu mendukung bukan meragukan penemuan.nikuba sebuah teknologi yg lompatan bagus.bukan saling menjatuh kan.
2023-07-11T23:37:47Z,H Y D R A X,"klo penemuan ini hoax kenapa pangdam ingin menambah permintaan produk dri nikuba ?
bukankah 30 produk pertama sudah di uji di 30 unit kendaraan kodam siliwangi ?
dan denger2 pangdam menambah 20 unit. klo ini sudah pasti ga masuk akal, kenapa orang itali masih aja buang2 waktu dtang kesini ? dan repot undang ke milan ? apakah bangsa mereka lebih bodoh dari bangsa kita ? klo brin bilang teknologi ini tidak mungkin, kenapa ga ambil aja 1 unit motor yg dipakai kodam siliwangi buat pembuktian. dokumentasikan agar masyarakat awam tau, jangan plonga plongo kek org linglung yg g tau harus ngapain. walaupun penemuan ini di indonesia sudah ada yg buat 12 tahun yg lalu lebih dlu tapi tidak se efisien nikuba, berharap pak arianto bisa menyempurnakan."
2023-07-11T23:07:50Z,teguh mokhamad,"Air jd BBM itu sangat mustahil... 
Pemerintah bertanggungjawab untuk mengklarifikasikan masalah ini.. 
Jangan sampai ada korban penipuan atas nikuba ini."
2023-07-11T22:55:55Z,bluepink surfer,"BRIN: blm bisa dibuktikan secara ilmiah,
BRIN: badan riset dan inovasi nasional
Kenapa ga brin nya sendiri aja yg membuat inovasi nikuba ini sehingga bisa terbukti secara ilmiah  yah"
2023-07-11T22:54:05Z,Abah Keren,"Teknologi gituan udah ada dari tahun 60 han,
Kalo nyata nya work, pasti banyak perusahaan antri nggak usah Ferrari alatu Lamborghini,

Pak misel datang deh ke Toyota dan kawan kawan, nggak usah libatkan pemerintah,

Toh ada juga perusahaan yg buat nikuba contoh nya seperti PT. Joko energi. Coba search sendiri kalo nggak percaya

Metro jangan bodohin masyarakat deh."
2023-07-11T22:52:20Z,Triadi Priyotomo,"Sedih banget, media nge goreng ilmu pengetahuan buat nyari animo kemarahan rakyat akan pemerintah. Masih inget ga dulu tahun 2010 pemerintah Indonesia di ""bodohi"" Oleh blue energy yang konsep nya sama persis kayak nikuba ini.  Hasil nya mana?. Media tau rakyat Indonesia itu minim literasi, padahal tinggal baca tentang hukum kekekalan energi kalau energi itu ga bisa muncul dari ketiadaan.. Output energi ga akan lebih besar dari input. Satu juta persen ga akan ada  mesin yang pake bahan bakar air. Elektrolisis hasil akhirnya adalah hidrogen, kenapa mesti repot repot ubah air jadi hidrogen? Kenapa ga dari bahan lain yang lebih kaya akan hidrogen?  Bapak halu satu ini kayaknya emang kesel sama pemerintahan Indonesia yang bobrok... Emang pemerintahan kita bobrok tapi berbohong itu dosa. Dear pak surya paloh, politik itu emang manis tapi jangan jual pengetahuan buat jadi bahan politik."
2023-07-11T22:33:07Z,arief cah blora part II,Kolaborasi nikuba dengan motor listrik
2023-07-11T19:07:56Z,Abdul Azis,"Kendaraan listrik sudah ada, sekarang penemuan nikuba dari indonesia yaitu Bapak misel. Harusnya dirangkul pemerintah indonesia, jangan sampai dirangkul negara lain"
2023-07-11T17:45:35Z,Kotak Dagelan,"Gasss terus @METRO TV. Jangan kasih kendor buat naikin terus nama Nikuba supaya BRIN & Presiden Jokowi nanti bisa kena prank sama penemuan Nikuba, terus dihujat deh sama netizen dan rakyat se-Indonesia raya. Terima kasih telah mengangkat berita ini terus sehingga kita bisa terlatih jadi bangsa overproud dan mudah dibodohi media."
2023-07-11T17:29:52Z,F,"Indonesia bwrgantung kepada sumber jualan BBM pertamina sebagai sumber dana untuk negara..jika air bisa digantikan BBM,negara indonesia bisa rugi triliunan..juga royalti dari jualan BBM di gunakan oleh pemerintah sebagai uang kantong..bayangkan kerugian pemerintah jika air menjadi bahan bakar selain BBM.. Mereka yang pertama merasakan cemas jika BBM itu sudah tidak berguna lagi? Mereka akan menentang habisan idea Nikuba.. sumber ekonomi indonesia juga terbesar tergantung kepada jualan ekspor dan BBM tempatan.."
2023-07-11T17:20:19Z,AYAM KUAH PAK RAGIL,Pasti bos... Bos. Tambang minyak. Pada takut bangkrut. Bahan bakar minyak nggak laku. Karena adanya Nikuba.
2023-07-11T16:29:27Z,Muhammad Bin hashem,Wkwk yakin? Perasaan modelan nikuba  gini mah udah ada dimana2. Yakin beneran di undang ferrari ducati dll?
2023-07-11T16:08:38Z,Aa ReMon,Jujur klo gua banyak duit gua beli/kontrak tuh nikuba . Mending bubarkan lembaga lembaga yang tak jelas ada sumbangsi nya bagi masyarakat.😂😂
2023-07-11T15:58:02Z,Sanika Intan,"Penemuan super nikuba pak.arianto,harusna negara turun dan kembangkan jangan sampe negara laen yg mematenkan..luar biasa air di ubah jadi hidrogen,air jadi pengganti bahan bakar."
2023-07-11T15:51:14Z,Viko Vika,Cumak mafia migas yg nolak NIKUBA gk mungkin lah pemerintah nolak.
2023-07-11T15:43:58Z,PEMBURU SEDEKAH HDI,Pemerintah gak ad yg menghargai klu TNI menghargai karya ank bangsa ...dngn d panggilny nikuba k milan ad orang2 yg mau memanffatknny...lucu dngn rezim in...
2023-07-11T15:28:06Z,Leo Wijay,Rusia ketar ketir bakal menghalang2in dgn suap2 agar nikuba tidak lolos ke eropa. Akibat minyak rusia di blokir akibat perang ukraina vs rusia.
